"District","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"NANDED","6","149","10209","2105","4316","3968","10174","127","118","153","5511","4665","12","10281","18","10209","22"
"DHULE","5","191","12466","1245","11030","388","12358","281","24","30","2194","10439","22","12641","2","12653","7"
"AMRAVATI","10","87","9952","981","2834","6238","8131","628","1294","1835","1592","6623","1314","8732","1351","8497","202"
"JALGAON","129","976","18666","3132","16431","212","18355","1342","78","492","2409","16861","248","19518","8","19503","250"
"Chhatrapati Sambhajinagar","3","219","11254","7059","3548","869","8403","2853","219","19","1908","9537","56","11411","0","10371","1091"
"NASHIK","21","5000","12691","1930","14623","1159","8175","9356","180","1849","6444","9415","141","17562","25","16899","772"
"SATARA","476","4095","10625","8369","4830","2000","10696","3787","715","1361","716","13113","131","15057","257","14257","663"
"PUNE","7","1611","13661","3686","10267","1326","10361","4699","220","1041","3027","11211","71","15207","29","15119","132"
"SINDHUDURG","8","1589","5286","2168","3185","1535","5761","1070","62","6629","195","48","14","6844","4168","2657","6"
"NANDURBAR","0","1919","6111","86","7939","6","482","7495","54","166","4019","3845","59","7970","0","8019","8"
"NAGPUR","5","444","11189","945","7852","2843","10524","1087","29","451","2741","8443","11","11625","5","11278","349"
"WASHIM","52","1667","9246","446","5702","4817","8306","2570","89","5346","2700","2919","19","10946","22","10803","139"
"RAIGAD","2079","1507","2181","2643","2964","1818","4258","1953","387","5221","971","1235","400","7082","134","7347","1"
"AKOLA","4","21","7510","5163","2167","205","6338","1111","86","65","858","6609","51","7483","0","7204","330"
"LATUR","2","51","12745","96","8424","4278","12749","41","8","201","4977","7618","25","12772","6","12768","22"
"AHMEDNAGAR","6","692","18801","14433","4112","953","7636","8351","3519","9495","5273","4723","179","19299","21","18693","753"
"CHANDRAPUR","9","1719","17095","1807","13794","3223","3763","14979","83","1401","7903","9515","8","18803","62","18636","94"
"WARDHA","17","2672","6715","2747","2834","3825","8591","785","32","144","1456","7800","1","9385","1","9368","19"
"GADCHIROLI","5","86","12191","503","7675","4136","347","11055","946","1446","6832","3931","54","12091","362","11644","42"
"SANGLI","1","194","9925","3035","6508","577","5730","3952","438","3003","3402","3714","153","9967","1","7889","2230"
"HINGOLI","12","5657","4825","28","8654","1812","7547","2942","5","38","2619","7838","1","10494","1","10494","0"
"PARBHANI","15","702","12603","8","8325","4999","13297","21","21","6","16","13270","3","13265","54","13111","71"
"DHARASHIV","9","386","14350","1756","1514","11481","11640","2985","127","287","2141","12315","5","14736","9","14653","76"
"SOLAPUR","17","111","14573","761","5858","8087","10694","3566","449","1505","4247","8936","54","14627","12","14472","180"
"RATNAGIRI","405","3293","3727","3288","2752","1385","5495","1676","254","7082","205","138","2","7423","291","7130","4"
"BULDHANA","4","346","16541","676","8906","7314","16099","769","28","2094","3034","11764","0","16885","4","16785","101"
"KOLHAPUR","27","1814","1782","3505","93","25","1798","1635","190","2811","614","198","29","3594","1239","2383","1"
"THANE","44","420","6278","4054","1363","1324","3344","2360","1037","4168","1073","1498","0","6740","4","6738","0"
"BEED","165","2760","4623","1040","5680","829","3981","3244","323","1402","3349","2789","2","7541","8","6807","728"
"BHANDARA","10","472","8509","39","3647","5304","6156","2687","148","2382","2425","4184","1","8990","564","8424","3"
"JALNA","1","528","9706","834","6999","2402","9726","506","3","199","1849","8186","20","10215","2","10033","199"
"YAVATMAL","1","159","7526","4555","3113","19","3480","4176","32","359","2996","4331","4","7677","0","7640","41"
"PALGHAR","34","163","3858","3503","310","252","167","628","3266","3278","359","428","35","4029","313","3725","27"
"GONDIA","0","570","6885","1179","5728","548","637","6815","3","596","5669","1189","0","7452","7","7438","3"