"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"URAN","164","54","2","222","25","2","239","9","1","249","0","0","139","112","3","248","0"
"MURUD","569","477","2","878","147","23","968","77","3","1044","2","2","116","942","15","1043","0"
"TALA","445","140","3","354","514","223","904","169","18","1015","63","13","2","1089","7","1084","0"
"PANVEL","280","127","0","277","103","27","225","143","39","406","0","1","6","401","1","406","0"
"KARJAT","66","81","0","39","67","72","82","60","6","102","36","40","2","176","0","178","0"
"SUDHAGAD","0","0","0","122","319","55","93","75","19","451","26","19","72","463","73","462","0"
"MANGAON","14","36","0","24","190","238","26","120","16","349","62","41","0","452","1","451","0"
"ALIBAG","89","64","2","84","182","92","59","79","17","226","93","39","4","354","0","358","0"
"MAHAD","451","146","2","134","339","126","353","238","8","239","198","162","3","596","0","599","0"
"PEN","1","376","624","61","285","649","357","434","210","831","63","103","49","952","0","1001","0"
"MHASALA","0","0","1066","315","615","136","833","233","0","178","371","517","7","1059","32","1033","1"
"POLADPUR","0","6","313","60","103","156","36","239","43","0","22","297","0","319","2","317","0"
"KHALAPUR","0","0","167","73","75","19","83","77","7","131","35","1","0","167","0","167","0"